customer_city,payment_value
alto paraiso de goias,1963.35
cedral,1956.87
aperibe,1953.69
brejo santo,1949.35
faxinal dos guedes,1948.77
piraquara,1947.24
abaete,1946.81
mantena,1946.55
lagoa da prata,1945.7
ipojuca,1945.2
ibate,1944.1200000000001
palmeira das missoes,1943.52
bocaiuva,1943.22
catende,1941.6799999999998
santana,1941.31
santa rita,1940.19
paranaiba,1937.59
ourilandia do norte,1934.3500000000001
cangucu,1932.5900000000001
carmo do cajuru,1932.42
xaxim,1928.25
morro da fumaca,1921.45
santa fe de goias,1921.2700000000002
itajobi,1915.73
ronda alta,1914.31
chapadao do sul,1913.4099999999999
porto nacional,1911.38
camamu,1897.51
itamaraju,1883.32
lagoa vermelha,1883.04
itatiaia,1882.29
sao simao,1879.81
sao gabriel da palha,1874.73
sao jose de ribamar,1870.87
taquari,1870.86
mariental,1867.85
montanha,1862.77
santa adelia,1861.06
paraguacu,1857.1
coxim,1854.62
campos sales,1853.7799999999997
tambau,1853.45
jardinopolis,1851.48
nova olinda,1849.72
bom conselho,1848.32
jacunda,1844.82
sidrolandia,1842.53
nova russas,1842.03
carmo,1839.51
torres,1833.3200000000002
itatinga,1832.1
goiana,1831.18
corrente,1831.15
caconde,1829.5700000000002
gameleira,1827.12
teutonia,1826.22
candido mota,1824.1000000000001
beberibe,1823.9099999999999
pojuca,1820.78
sao francisco de itabapoana,1816.41
balneario picarras,1815.3
ibia,1811.6100000000001
paraibuna,1810.75
guariba,1810.72
limoeiro do norte,1806.8600000000001
ipueiras,1805.78
quatro bocas,1804.79
pomerode,1797.55
senador canedo,1790.29
quirinopolis,1789.8
pirajui,1789.32
minacu,1787.83
vazante,1780.31
santo amaro de campos,1777.56
sao felix do xingu,1774.08
cruz,1772.56
santana do jacare,1769.22
currais novos,1769.0900000000001
afonso claudio,1767.92
jarinu,1767.06
catu,1763.24
itapipoca,1761.25
nova esperanca,1760.46
imbuia,1759.81
tapejara,1757.73
carmopolis de minas,1756.72
vitorino freire,1744.37
bezerros,1739.95
jacarezinho,1738.6
guaramirim,1736.26
santa helena de goias,1733.6799999999998
flores da cunha,1732.5700000000002
ibatiba,1724.6
nova olinda do maranhao,1724.3299999999997
mostardas,1720.33
embu,1719.66
reginopolis,1719.32
bocaina,1719.24
entre rios de minas,1709.6200000000001
dom pedrito,1708.09
sao goncalo do amarante,1705.59
cordeiropolis,1705.29
sao bento do una,1702.2199999999998
malacacheta,1702.21
aracoiaba da serra,1701.76
marituba,1699.5
buenopolis,1698.09
penedo,1697.95
santa helena,1695.89
lambari,1692.91
piranguinho,1689.85
andira,1688.59
toropi,1682.98
palmares,1682.92
pimenta bueno,1682.01
correia pinto,1680.18
mata de sao joao,1679.07
cassilandia,1677.59
cabedelo,1677.5700000000002
bastos,1673.94
crissiumal,1671.3000000000002
morada nova,1668.92
mata verde,1667.51
jose bonifacio,1666.93
tanabi,1666.88
siqueira campos,1663.61
itauba,1661.9700000000003
sao lourenco da mata,1660.1999999999998
costa marques,1658.28
simonesia,1657.65
barreiros,1653.7
uruana,1650.85
arroio do meio,1648.17
garuva,1647.66
porto real,1645.92
tupaciguara,1645.3700000000001
loreto,1643.64
guarabira,1642.8600000000001
conceicao das alagoas,1641.4
acarau,1639.94
nova ponte,1638.5400000000002
capanema,1637.8400000000001
vila valerio,1632.29
casca,1628.94
formosa do rio preto,1628.16
jaguare,1618.3799999999999
orleans,1617.67
baixo guandu,1617.1699999999998
sao joao dos patos,1615.47
iguape,1615.2
divino,1611.72
xinguara,1608.51
conceicao do mato dentro,1606.34
itapecerica,1603.68
lauro muller,1597.19
afogados da ingazeira,1596.3899999999999
jequitinhonha,1595.86
pacaembu,1595.0700000000002
marilandia,1593.22
ibipora,1590.83
mutum,1589.8700000000001
bom retiro do sul,1588.84
aracuai,1588.78
periquito,1588.1
baependi,1587.39
ipaba,1585.26
pirapozinho,1582.47
igrejinha,1581.6399999999999
aguas formosas,1580.57
biritiba-mirim,1579.77
barroso,1575.52
pinhao,1570.99
santana do acarau,1563.58
teodoro sampaio,1561.19
girua,1560.97
altos,1560.87
vargem grande do sul,1560.05
italva,1556.26
itaiopolis,1555.42
sao miguel arcanjo,1554.3899999999999
corinto,1545.63
chapada,1545.3300000000002
santo antonio da platina,1544.84
sao joao,1541.31
nova prata,1541.25
floresta,1538.78
fatima do sul,1536.8600000000001
saloa,1536.08
mirandopolis,1535.4099999999999
tabapua,1535.21
ibitita,1534.58
iracemapolis,1532.5
campinas do sul,1531.2400000000002
sao jose do vale do rio preto,1527.66
sao luis de montes belos,1524.1299999999999
itabera,1522.98
itaqui,1522.33
pacajus,1520.0
sao miguel do araguaia,1518.03
santa gertrudes,1516.74
barbalha,1515.4099999999999
sao miguel do guama,1514.4
turmalina,1513.28
buerarema,1510.32
mendes,1509.99
astolfo dutra,1509.69
agudos,1508.95
ivoti,1507.43
pontal,1506.63
sombrio,1506.61
altinopolis,1506.04
tres passos,1503.72
guadalupe,1502.76
aluminio,1500.64
casa branca,1500.45
parelhas,1496.8000000000002
conceicao do araguaia,1494.6
arroio do sal,1490.1999999999998
canarana,1486.9
apiuna,1484.8
divinolandia,1482.9
alcobaca,1481.9
sao goncalo do sapucai,1480.8400000000001
espumoso,1480.46
tapiramuta,1476.8999999999999
upanema,1476.25
capinzal,1469.23
sao miguel do iguacu,1468.23
forquilhinha,1468.18
coaraci,1468.1200000000001
santana do araguaia,1467.91
joao camara,1466.81
rio pomba,1464.8600000000001
dores de campos,1464.19
neropolis,1464.02
palmeira dos indios,1463.46
guarai,1459.3700000000001
guara,1459.19
botelhos,1456.47
duartina,1453.3
caarapo,1447.93
celso ramos,1440.96
descalvado,1439.57
ouroeste,1437.57
braganca,1437.27
papucaia,1435.7
bonfinopolis de minas,1433.75
itapui,1430.8899999999999
ibirama,1429.2
assis chateaubriand,1426.3
areado,1425.55
gravatal,1418.28
ubajara,1414.6299999999999
cocal,1413.88
realeza,1412.76
ipaussu,1409.26
fronteiras,1408.8400000000001
conchas,1408.56
primeiro de maio,1407.6100000000001
mamanguape,1406.47
colorado,1405.6499999999999
dois corregos,1402.59
campinorte,1400.61
pinheiros,1396.34
campestre da serra,1390.06
goitacazes,1388.24
herval d'oeste,1386.93
santo augusto,1386.88
carandai,1386.44
balsamo,1383.48
perdizes,1382.5
campina grande do sul,1382.49
rio negrinho,1381.73
sao bento,1381.24
itariri,1378.73
silvania,1373.15
pirpirituba,1372.25
confresa,1371.62
guararema,1370.41
areal,1364.63
tucuma,1362.99
coruripe,1359.09
raul soares,1357.77
sao lourenco da serra,1357.03
schroeder,1356.76
sousa,1356.43
barra do corda,1354.34
delmiro gouveia,1353.71
domingos martins,1353.6299999999999
sao joao evangelista,1353.08
barao ataliba nogueira,1351.51
aripuana,1348.3799999999999
inhambupe,1346.98
pirangi,1346.43
prata,1346.09
parapua,1345.83
maracai,1345.6
chapadao do ceu,1343.25
barra longa,1341.55
monte belo,1340.3
jaguaruana,1339.3
alto paraiso,1333.91
reriutaba,1331.6299999999999
campo maior,1329.7
coroata,1328.47
hidrolandia,1326.25
salto de pirapora,1326.18
sumidouro,1325.97
barcarena,1323.67
pompeu,1321.6699999999998
frederico westphalen,1319.89
dourado,1316.93
saltinho,1316.35
sarzedo,1316.33
santa teresa,1313.65
urupes,1313.27
butia,1312.6100000000001
colinas,1311.49
salesopolis,1310.96
sao joaquim,1310.39
alhandra,1307.91
conceicao do coite,1307.04
acreuna,1306.45
sobradinho,1302.79
riacho de santana,1302.47
macau,1297.69
raposos,1297.31
venturosa,1297.06
itambe,1296.54
catu de abrantes,1295.8600000000001
rosario do sul,1292.52
mangaratiba,1292.46
charqueada,1290.88
itaberaba,1286.19
araquari,1285.3600000000001
quixere,1281.01
arapoti,1280.9099999999999
rolante,1280.29
toritama,1277.99
capinopolis,1277.95
costa rica,1273.9
brotas,1269.88
camacan,1269.4
valenca do piaui,1268.65
santana do mundau,1268.01
passagem,1265.83
ibaiti,1264.1399999999999
jijoca de jericoacoara,1262.22
coari,1259.04
aguas da prata,1257.57
terra roxa,1256.75
cristina,1256.38
itapejara d'oeste,1255.92
capao do leao,1254.66
arapora,1253.37
santo antonio do pinhal,1252.69
taua,1251.37
terra de areia,1250.93
garibaldi,1248.25
macaubas,1248.0900000000001
santa maria madalena,1247.45
bom jesus do araguaia,1247.29
caraubas,1246.76
poco fundo,1244.88
mundo novo,1243.19
jaguarao,1242.01
entre rios,1241.52
soledade,1240.4099999999999
lajedo,1237.92
